Time,T1,T2,T1pred,SP1,Q1,Q2
3.5218381881713867,20.949499999999997,20.949499999999997,21.0,21.0,50.000000495,0
7.544108144066099,20.949499999999997,20.6272,21.00000000002124,21.0,9.800000100637952,0
9.603697825581156,20.949499999999997,20.949499999999997,21.000000000036767,21.0,4.586005270743531e-09,0
11.647744572432751,20.949499999999997,20.949499999999997,21.000000000056122,21.0,4.7469765058184854e-09,0
15.576985693049643,21.2718,20.949499999999997,21.000000000102144,21.0,5.219475556757017e-09,0
17.600261296229373,21.2718,20.949499999999997,21.000000000129553,21.0,5.5358671354172224e-09,0
19.55799285669669,21.2718,20.949499999999997,21.000000000160775,21.0,5.978270410208331e-09,0
23.571293682543125,21.2718,20.949499999999997,21.000000000233698,21.0,7.1493445433656896e-09,0
25.612543651815894,21.2718,20.949499999999997,21.000000000282746,21.0,8.24829203917517e-09,0
27.65953028655516,21.2718,20.949499999999997,21.00000000033326,21.0,9.380043937844636e-09,0
31.539159717881564,21.594099999999997,20.949499999999997,21.00000000046261,21.0,1.3439578651239186e-08,0
33.59450037909181,21.594099999999997,20.949499999999997,21.000000000538098,21.0,1.605044080387158e-08,0
35.56921662133709,21.594099999999997,20.949499999999997,21.00000000066762,21.0,2.3400566479563962e-08,0
39.56902231636521,21.594099999999997,20.949499999999997,21.110004658011945,21.0,18.735168189676543,0
41.58770963917799,21.594099999999997,20.949499999999997,21.320585001698554,21.0,54.599632943978236,0
43.588544876715424,21.594099999999997,20.949499999999997,21.535433467260496,21.0,89.34450545007583,0
47.57033102340935,21.9164,20.949499999999997,22.306950885334114,21.0,97.95086643270687,0
49.58194153183103,22.238699999999998,20.949499999999997,22.76265601744186,21.0,100.0,0
51.57908366160133,22.561,20.949499999999997,23.275883392454855,21.0,100.0,0
53.59548425069489,22.8833,20.949499999999997,23.794761695425446,21.0273,100.0,0
55.7010001250143,23.205599999999997,20.949499999999997,24.429200992980576,21.8502,100.0,0
57.59555388390751,23.5279,20.949499999999997,24.99749022159631,22.5873,100.0,0
61.571233915201766,24.494799999999998,20.949499999999997,26.284440149581428,24.139499999999998,100.0,0
63.597691312991316,25.1394,21.2718,26.952888159814652,24.9273,100.0,0
65.58477897802051,25.784,21.2718,27.6438118696145,25.6995,100.0,0
69.57191807868048,26.750899999999998,21.2718,29.050654546663225,27.2595,100.0,0
71.57397830808587,27.3955,21.2718,29.76958052708355,28.0395,100.0,0
73.59964866578711,28.0401,21.2718,30.496004966131814,28.827299999999997,100.0,0
77.5797169648783,29.329299999999996,21.594099999999997,31.94424782886045,30.3795,100.0,0
79.63127528226241,29.973899999999997,21.594099999999997,32.690096002657995,31.179,100.0,0
81.60233614584247,30.618499999999997,21.594099999999997,33.4067498797435,31.9473,100.0,0
85.57120131459085,31.585399999999996,21.9164,34.84762210248359,33.4995,100.0,0
87.58585946862117,32.23,22.238699999999998,35.571976777488196,34.2834,100.0,0
89.58797381776593,32.8746,21.9164,36.28657158587384,35.0634,100.0,0
93.57116752678024,34.163799999999995,22.238699999999998,37.7009213665625,36.6195,100.0,0
95.59280687104254,34.8084,22.238699999999998,38.398496678883795,37.403400000000005,100.0,0
97.56828273039889,35.452999999999996,22.561,39.08566041937941,38.1756,100.0,0
101.56860957048028,36.7422,22.561,40.45080592728557,39.7395,100.0,0
103.53189647886913,37.386799999999994,22.8833,41.11388198782955,40.5039,100.0,0
105.60649793299659,37.7091,22.8833,41.791340082922055,41.3073,100.0,0
109.55089936257457,38.9983,22.8833,43.08335694362193,42.8517,100.0,0
111.58580779728518,39.6429,23.205599999999997,43.730686147257515,43.6434,100.0,0
113.5518268542979,40.287499999999994,23.205599999999997,44.35548862244911,44.407799999999995,100.0,0
117.5702070502158,41.2544,23.5279,45.59926668725667,45.9795,100.0,0
119.5806482980801,41.898999999999994,23.5279,46.208635669118685,46.763400000000004,100.0,0
121.52388232762179,42.2213,23.5279,46.787287666064515,47.519999999999996,100.0,0
123.59539902830764,42.865899999999996,23.850199999999997,47.40399173087815,48.327299999999994,100.0,0
125.62319528342728,43.51049999999999,23.850199999999997,47.98562517366536,49.1151,100.0,0
127.59102206359997,43.8328,23.850199999999997,48.549982375577706,49.8795,100.0,0
131.5704002539353,45.122,24.1725,49.67053537295821,51.43950000000001,100.0,0
133.58293176275777,45.4443,24.1725,50.22812721797456,52.2234,100.0,0
135.61985290067636,46.088899999999995,24.1725,50.77146525306452,53.015100000000004,100.0,0
139.5727852552209,47.0558,24.494799999999998,51.82104891582293,54.55950000000001,100.0,0
141.58862218490341,47.378099999999996,24.494799999999998,52.33926506318791,55.3434,100.0,0
143.57300242830723,48.02269999999999,24.494799999999998,52.84936328814918,56.1156,100.0,0
147.57313430467931,48.6673,24.817099999999996,53.84478625082565,57.679500000000004,100.0,0
149.5865567096723,49.311899999999994,24.817099999999996,54.333868837218226,58.4634,100.0,0
151.59307421911703,49.63419999999999,24.817099999999996,54.814105605522016,59.247299999999996,100.0,0
155.56365159186396,50.601099999999995,25.1394,55.74421989957697,60.0,100.0,0
157.6008417854404,50.923399999999994,25.1394,56.21091234897093,60.0,100.0,0
159.623510941829,51.568,25.1394,56.667997677690266,60.0,100.0,0
163.57062253499723,52.212599999999995,25.461699999999997,57.54117357026491,60.0,100.0,0
165.59025412168023,52.53489999999999,25.461699999999997,57.968750610535,60.0,100.0,0
167.626934206556,52.8572,25.461699999999997,58.400582148718215,60.0,100.0,0
171.5711901861932,53.824099999999994,25.784,59.21812910060862,60.0,99.99999924360745,0
